boundary_after_group,left_line,right_line,physical_relation,sheet_offset,boundary_class,line_final_equals,documented_crossline_example
1,1,1,SAME_PHYSICAL_LINE,2,LEXICAL_BOUNDARY,false,false
2,1,1,SAME_PHYSICAL_LINE,5,LEXICAL_BOUNDARY,false,false
3,1,1,SAME_PHYSICAL_LINE,13,LEXICAL_BOUNDARY,false,false
4,1,1,SAME_PHYSICAL_LINE,22,LEXICAL_BOUNDARY,false,false
5,1,2,CROSS_PHYSICAL_LINE,28,LEXICAL_BOUNDARY,false,false
6,2,2,SAME_PHYSICAL_LINE,30,LEXICAL_BOUNDARY,false,false
7,2,2,SAME_PHYSICAL_LINE,38,LEXICAL_BOUNDARY,false,false
8,2,2,SAME_PHYSICAL_LINE,46,LEXICAL_BOUNDARY,false,false
9,2,2,SAME_PHYSICAL_LINE,51,LEXICAL_BOUNDARY,false,false
10,2,2,SAME_PHYSICAL_LINE,53,LEXICAL_BOUNDARY,false,false
11,2,3,CROSS_PHYSICAL_LINE,57,LEXICAL_BOUNDARY,false,false
12,3,3,SAME_PHYSICAL_LINE,64,WITHIN_WORD_SPLIT,false,false
13,3,3,SAME_PHYSICAL_LINE,69,LEXICAL_BOUNDARY,false,false
14,3,3,SAME_PHYSICAL_LINE,75,LEXICAL_BOUNDARY,false,false
15,3,3,SAME_PHYSICAL_LINE,80,LEXICAL_BOUNDARY,false,false
16,3,3,SAME_PHYSICAL_LINE,85,LEXICAL_BOUNDARY,false,false
17,3,4,CROSS_PHYSICAL_LINE,88,LEXICAL_BOUNDARY,false,false
18,4,4,SAME_PHYSICAL_LINE,92,LEXICAL_BOUNDARY,false,false
19,4,4,SAME_PHYSICAL_LINE,100,LEXICAL_BOUNDARY,false,false
20,4,4,SAME_PHYSICAL_LINE,104,LEXICAL_BOUNDARY,false,false
21,4,4,SAME_PHYSICAL_LINE,106,LEXICAL_BOUNDARY,false,false
22,4,4,SAME_PHYSICAL_LINE,114,LEXICAL_BOUNDARY,false,false
23,4,5,CROSS_PHYSICAL_LINE,119,LEXICAL_BOUNDARY,false,false
24,5,5,SAME_PHYSICAL_LINE,124,LEXICAL_BOUNDARY,false,false
25,5,5,SAME_PHYSICAL_LINE,135,LEXICAL_BOUNDARY,false,false
26,5,5,SAME_PHYSICAL_LINE,145,LEXICAL_BOUNDARY,false,false
27,5,6,CROSS_PHYSICAL_LINE,151,LEXICAL_BOUNDARY,false,false
28,6,6,SAME_PHYSICAL_LINE,162,LEXICAL_BOUNDARY,false,false
29,6,6,SAME_PHYSICAL_LINE,167,LEXICAL_BOUNDARY,false,false
30,6,6,SAME_PHYSICAL_LINE,174,LEXICAL_BOUNDARY,false,false
31,6,7,CROSS_PHYSICAL_LINE,182,WITHIN_WORD_SPLIT,true,true
32,7,7,SAME_PHYSICAL_LINE,188,LEXICAL_BOUNDARY,false,false
33,7,7,SAME_PHYSICAL_LINE,196,LEXICAL_BOUNDARY,false,false
34,7,7,SAME_PHYSICAL_LINE,202,LEXICAL_BOUNDARY,false,false
35,7,7,SAME_PHYSICAL_LINE,209,LEXICAL_BOUNDARY,false,false
36,7,8,CROSS_PHYSICAL_LINE,211,LEXICAL_BOUNDARY,false,false
37,8,8,SAME_PHYSICAL_LINE,215,LEXICAL_BOUNDARY,false,false
38,8,8,SAME_PHYSICAL_LINE,221,LEXICAL_BOUNDARY,false,false
39,8,8,SAME_PHYSICAL_LINE,228,LEXICAL_BOUNDARY,false,false
40,8,8,SAME_PHYSICAL_LINE,232,LEXICAL_BOUNDARY,false,false
41,8,8,SAME_PHYSICAL_LINE,236,LEXICAL_BOUNDARY,false,false
42,8,9,CROSS_PHYSICAL_LINE,241,LEXICAL_BOUNDARY,false,false
43,9,9,SAME_PHYSICAL_LINE,250,LEXICAL_BOUNDARY,false,false
44,9,9,SAME_PHYSICAL_LINE,255,LEXICAL_BOUNDARY,false,false
45,9,9,SAME_PHYSICAL_LINE,264,LEXICAL_BOUNDARY,false,false
46,9,9,SAME_PHYSICAL_LINE,271,LEXICAL_BOUNDARY,false,false
47,9,10,CROSS_PHYSICAL_LINE,274,LEXICAL_BOUNDARY,false,false
48,10,10,SAME_PHYSICAL_LINE,284,LEXICAL_BOUNDARY,false,false
49,10,10,SAME_PHYSICAL_LINE,288,LEXICAL_BOUNDARY,false,false
50,10,10,SAME_PHYSICAL_LINE,292,LEXICAL_BOUNDARY,false,false
51,10,10,SAME_PHYSICAL_LINE,300,LEXICAL_BOUNDARY,false,false
52,10,11,CROSS_PHYSICAL_LINE,302,LEXICAL_BOUNDARY,false,false
53,11,11,SAME_PHYSICAL_LINE,306,LEXICAL_BOUNDARY,false,false
54,11,11,SAME_PHYSICAL_LINE,316,LEXICAL_BOUNDARY,false,false
55,11,11,SAME_PHYSICAL_LINE,,UNALIGNED_OR_AMBIGUOUS,false,false
56,11,11,SAME_PHYSICAL_LINE,325,UNALIGNED_OR_AMBIGUOUS,false,false
57,11,12,CROSS_PHYSICAL_LINE,330,LEXICAL_BOUNDARY,false,false
58,12,12,SAME_PHYSICAL_LINE,337,LEXICAL_BOUNDARY,false,false
59,12,12,SAME_PHYSICAL_LINE,342,LEXICAL_BOUNDARY,false,false
60,12,12,SAME_PHYSICAL_LINE,345,LEXICAL_BOUNDARY,false,false
61,12,12,SAME_PHYSICAL_LINE,352,LEXICAL_BOUNDARY,false,false
62,12,13,CROSS_PHYSICAL_LINE,359,LEXICAL_BOUNDARY,false,false
63,13,13,SAME_PHYSICAL_LINE,365,LEXICAL_BOUNDARY,false,false
64,13,13,SAME_PHYSICAL_LINE,372,LEXICAL_BOUNDARY,false,false
65,13,13,SAME_PHYSICAL_LINE,383,LEXICAL_BOUNDARY,false,false
66,13,14,CROSS_PHYSICAL_LINE,391,LEXICAL_BOUNDARY,false,false
67,14,14,SAME_PHYSICAL_LINE,396,LEXICAL_BOUNDARY,false,false
68,14,14,SAME_PHYSICAL_LINE,404,LEXICAL_BOUNDARY,false,false
69,14,14,SAME_PHYSICAL_LINE,406,LEXICAL_BOUNDARY,false,false
70,14,14,SAME_PHYSICAL_LINE,411,LEXICAL_BOUNDARY,false,false
71,14,15,CROSS_PHYSICAL_LINE,416,LEXICAL_BOUNDARY,false,false
72,15,15,SAME_PHYSICAL_LINE,424,LEXICAL_BOUNDARY,false,false
73,15,15,SAME_PHYSICAL_LINE,433,LEXICAL_BOUNDARY,false,false
74,15,15,SAME_PHYSICAL_LINE,438,LEXICAL_BOUNDARY,false,false
75,15,16,CROSS_PHYSICAL_LINE,442,WITHIN_WORD_SPLIT,true,false
76,16,16,SAME_PHYSICAL_LINE,446,LEXICAL_BOUNDARY,false,false
77,16,16,SAME_PHYSICAL_LINE,450,LEXICAL_BOUNDARY,false,false
78,16,16,SAME_PHYSICAL_LINE,457,LEXICAL_BOUNDARY,false,false
79,16,16,SAME_PHYSICAL_LINE,466,LEXICAL_BOUNDARY,false,false
80,16,16,SAME_PHYSICAL_LINE,470,LEXICAL_BOUNDARY,false,false
81,16,17,CROSS_PHYSICAL_LINE,472,WITHIN_WORD_SPLIT,true,false
82,17,17,SAME_PHYSICAL_LINE,475,LEXICAL_BOUNDARY,false,false
83,17,17,SAME_PHYSICAL_LINE,484,LEXICAL_BOUNDARY,false,false
84,17,17,SAME_PHYSICAL_LINE,491,LEXICAL_BOUNDARY,false,false
85,17,17,SAME_PHYSICAL_LINE,495,LEXICAL_BOUNDARY,false,false
86,17,18,CROSS_PHYSICAL_LINE,499,LEXICAL_BOUNDARY,false,false
87,18,18,SAME_PHYSICAL_LINE,507,WITHIN_WORD_SPLIT,false,false
88,18,18,SAME_PHYSICAL_LINE,509,LEXICAL_BOUNDARY,false,false
89,18,18,SAME_PHYSICAL_LINE,518,LEXICAL_BOUNDARY,false,false
90,18,18,SAME_PHYSICAL_LINE,521,LEXICAL_BOUNDARY,false,false
91,18,18,SAME_PHYSICAL_LINE,523,LEXICAL_BOUNDARY,false,false
92,18,19,CROSS_PHYSICAL_LINE,528,LEXICAL_BOUNDARY,false,false
93,19,19,SAME_PHYSICAL_LINE,533,LEXICAL_BOUNDARY,false,false
94,19,19,SAME_PHYSICAL_LINE,543,LEXICAL_BOUNDARY,false,false
95,19,19,SAME_PHYSICAL_LINE,552,LEXICAL_BOUNDARY,false,false
96,19,20,CROSS_PHYSICAL_LINE,556,LEXICAL_BOUNDARY,false,false
97,20,20,SAME_PHYSICAL_LINE,563,LEXICAL_BOUNDARY,false,false
98,20,20,SAME_PHYSICAL_LINE,566,LEXICAL_BOUNDARY,false,false
99,20,20,SAME_PHYSICAL_LINE,573,LEXICAL_BOUNDARY,false,false
100,20,20,SAME_PHYSICAL_LINE,579,LEXICAL_BOUNDARY,false,false
101,20,21,CROSS_PHYSICAL_LINE,587,WITHIN_WORD_SPLIT,true,false
102,21,21,SAME_PHYSICAL_LINE,592,LEXICAL_BOUNDARY,false,false
103,21,21,SAME_PHYSICAL_LINE,602,LEXICAL_BOUNDARY,false,false
104,21,21,SAME_PHYSICAL_LINE,607,LEXICAL_BOUNDARY,false,false
105,21,21,SAME_PHYSICAL_LINE,613,LEXICAL_BOUNDARY,false,false
106,21,22,CROSS_PHYSICAL_LINE,618,WITHIN_WORD_SPLIT,true,false
107,22,22,SAME_PHYSICAL_LINE,624,LEXICAL_BOUNDARY,false,false
108,22,22,SAME_PHYSICAL_LINE,626,LEXICAL_BOUNDARY,false,false
109,22,22,SAME_PHYSICAL_LINE,635,LEXICAL_BOUNDARY,false,false
110,22,22,SAME_PHYSICAL_LINE,641,LEXICAL_BOUNDARY,false,false
111,22,22,SAME_PHYSICAL_LINE,643,LEXICAL_BOUNDARY,false,false
112,22,23,CROSS_PHYSICAL_LINE,648,WITHIN_WORD_SPLIT,false,false
113,23,23,SAME_PHYSICAL_LINE,652,LEXICAL_BOUNDARY,false,false
114,23,23,SAME_PHYSICAL_LINE,664,LEXICAL_BOUNDARY,false,false
115,23,23,SAME_PHYSICAL_LINE,674,LEXICAL_BOUNDARY,false,false
116,23,24,CROSS_PHYSICAL_LINE,679,LEXICAL_BOUNDARY,false,false
117,24,24,SAME_PHYSICAL_LINE,685,LEXICAL_BOUNDARY,false,false
118,24,24,SAME_PHYSICAL_LINE,694,LEXICAL_BOUNDARY,false,false
119,24,24,SAME_PHYSICAL_LINE,703,LEXICAL_BOUNDARY,false,false
120,24,25,CROSS_PHYSICAL_LINE,710,LEXICAL_BOUNDARY,false,false
121,25,25,SAME_PHYSICAL_LINE,715,LEXICAL_BOUNDARY,false,false
